type,entry_time,exit_time,entry_idx,exit_idx,entry_price,exit_price,pnl_pct,pnl_usd,exit_reason,hold_bars,hold_hours,is_black_swan
LONG,2025-08-20 04:00:00,2025-08-20 16:00:00,2,5,113490.13,114276.66,0.6930382404179102,51.44305923343282,高点,3,12,True
LONG,2025-08-28 08:00:00,2025-08-28 04:00:00,45,44,112909.18,113114.11,0.18149985678755934,6.608816613987519,高点,-1,-4,False
LONG,2025-09-03 20:00:00,2025-09-04 12:00:00,74,78,111705.71,109510.31,-1.9653426848099427,-101.35210635714009,止损,4,16,False
LONG,2025-09-06 12:00:00,2025-09-07 12:00:00,89,93,110384.15,111329.99,0.8568621491400814,40.168420871767395,高点,4,16,False
LONG,2025-09-19 00:00:00,2025-09-18 20:00:00,119,118,116977.58,117073.53,0.08202426482065803,1.6007117715268326,SHORT模式,-1,-4,False
LONG,2025-09-25 20:00:00,2025-09-26 00:00:00,152,153,108994.49,109580.01,0.5372014677072111,24.356343619721926,高点,1,4,False
LONG,2025-09-29 16:00:00,2025-09-30 00:00:00,165,167,114265.55,114376.39,0.09700211481062884,2.3554699146388285,高点,2,8,False
LONG,2025-10-14 16:00:00,2025-10-15 04:00:00,249,250,112613.7,112584.5,-0.025929349626197425,-3.806027258128813,OSCILLATION,1,4,False
LONG,2025-10-16 08:00:00,2025-10-16 08:00:00,257,257,111404.72,111404.72,0.0,-2.505343672102451,高点,0,0,False
LONG,2025-10-27 20:00:00,2025-10-28 08:00:00,319,322,114107.65,114357.73,0.2191614672635899,8.474033193390154,高点,3,12,False
LONG,2025-11-07 12:00:00,2025-11-07 16:00:00,373,374,100797.95,103395.25,2.576738911852873,126.68239347764357,高点,1,4,False
LONG,2025-11-16 12:00:00,2025-11-17 04:00:00,417,421,94573.46,95653.77,1.1422972153075477,55.45607037135418,高点,4,16,False
LONG,2025-11-21 00:00:00,2025-11-21 04:00:00,440,441,85821.34,84049.39,-2.0646962631904806,-107.94976549961709,止损,1,4,False
LONG,2025-11-23 08:00:00,2025-11-24 00:00:00,447,451,86331.28,87460.02,1.3074519455752367,63.5109558130477,高点,4,16,False
LONG,2025-11-28 00:00:00,2025-11-28 08:00:00,473,475,91208.85,91437.64,0.2508418865055239,10.207832094877467,高点,2,8,False
LONG,2025-12-09 20:00:00,2025-12-09 16:00:00,521,520,92678.8,93800.83,1.2106652222514735,59.05029902873862,高点,-1,-4,False
LONG,2025-12-10 20:00:00,2025-12-10 16:00:00,526,525,92015.37,92957.67,1.024068044284344,49.8445285933595,高点,-1,-4,False
LONG,2025-12-17 20:00:00,2025-12-19 04:00:00,559,563,86243.22,87953.4,1.9829732702466267,99.39489364795844,SHORT模式,4,16,False
LONG,2025-12-22 08:00:00,2025-12-22 08:00:00,576,576,89945.43,89945.43,0.0,-2.5958851463646133,高点,0,0,False
LONG,2025-12-24 20:00:00,2025-12-25 16:00:00,589,591,87669.45,88151.18,0.5494844555315402,25.925602557692063,OSCILLATION,2,8,False
LONG,2025-12-28 00:00:00,2025-12-27 20:00:00,601,600,87740.01,87877.01,0.15614313242043168,5.523089063198826,高点,-1,-4,False
LONG,2026-01-01 04:00:00,2026-01-02 20:00:00,621,624,87631.88,89995.13,2.6967925371451575,137.79722561793884,SHORT模式,3,12,False
LONG,2026-01-03 08:00:00,2026-01-04 04:00:00,627,632,89752.74,91532.0,1.98240187430489,101.9360406181463,高点,5,20,False
LONG,2026-01-05 16:00:00,2026-01-05 16:00:00,640,640,94303.4,94303.4,0.0,-2.6630316645422663,高点,0,0,False
LONG,2026-01-14 20:00:00,2026-01-14 16:00:00,685,684,96951.78,97267.42,0.3255639040355932,14.673038864023162,高点,-1,-4,False
