信号类型,方向,盈亏%,开仓时张力,开仓时加速度,开仓时量能比率,开仓时DXY燃料,开仓时张力加速度比,平仓时张力,平仓时加速度,平仓时量能比率,平仓时DXY燃料,平仓时张力加速度比
HIGH_OSCILLATION,short,-0.3529916447284448,0.9831506757954052,-0.0010740527214371,,0.0,915.3653784145099,0.9917460281362236,-0.0010843785365016,,0.0,914.5754870211415
HIGH_OSCILLATION,short,0.7005962919621999,0.9879905412340652,-0.0010798540660563,,0.0,914.9296856771335,0.9917460281362236,-0.0010843785365016,,0.0,914.5754870211415
HIGH_OSCILLATION,short,-0.8308513443871599,0.9917460281362236,-0.0010843785365016,,0.0,914.5754870211415,0.9944138998441778,-0.0010876151942043,,0.0,914.3067374777636
HIGH_OSCILLATION,short,-0.19550324538985822,0.9944138998441778,-0.0010876151942043,,0.0,914.3067374777636,0.6054837457320356,-0.000605141419588,2.289428097153722,-0.0707214880617256,1000.5656961050008
HIGH_OSCILLATION,short,0.5931081005364073,0.9959922167088174,-0.0010895548433145,,0.0,914.1276575660398,0.6054837457320356,-0.000605141419588,2.289428097153722,-0.0707214880617256,1000.5656961050008
HIGH_OSCILLATION,short,0.48760903303627967,0.9964803435210025,-0.0010901900524546,,0.0,914.0427774748019,0.6054837457320356,-0.000605141419588,2.289428097153722,-0.0707214880617256,1000.5656961050008
HIGH_OSCILLATION,short,0.33054153861315366,0.9958789551592756,-0.0010895151739115,,0.0,914.0569851670276,0.6054837457320356,-0.000605141419588,2.289428097153722,-0.0707214880617256,1000.5656961050008
HIGH_OSCILLATION,short,0.7296725965902632,0.9941900404373624,-0.0010875263601867,,0.0,914.1755794008393,0.6054837457320356,-0.000605141419588,2.289428097153722,-0.0707214880617256,1000.5656961050008
HIGH_OSCILLATION,short,1.027147187719311,0.9914169041375072,-0.0010842215779418,,0.0,914.4043286977688,0.6054837457320356,-0.000605141419588,2.289428097153722,-0.0707214880617256,1000.5656961050008
HIGH_OSCILLATION,short,1.2232886649828096,0.9875641672184002,-0.0010796006192517,,0.0,914.7495375677973,0.4438526260555777,-0.0004012923928162,1.6378010813631323,0.0955034364495672,1106.057911889875
HIGH_OSCILLATION,short,1.8282820410686969,0.98263776518915,-0.0010736651101433,,0.0,915.2181214661985,0.4154287166285036,-0.0003653594805625,1.4784476274359761,0.0955034364495672,1137.0410205010091
